DATE,DIA US Equity,QQQ US Equity,SPY US Equity
2011-06-05,121.32,56.35,130.42
2011-06-06,120.73,55.89,129.045
2011-06-07,120.49,55.79,128.96
2011-06-08,120.3,55.39,128.42
2011-06-09,121.12,55.485,129.4
2011-06-10,119.37,54.64,127.6
2011-06-11,119.37,54.64,127.6
2011-06-12,119.37,54.64,127.6
2011-06-13,119.46,54.64,127.7
2011-06-14,120.7,55.34,129.32
2011-06-15,118.88,54.29,127.02
2011-06-16,119.53,54.08,127.3
2011-06-17,119.74,53.79,127.05
2011-06-18,119.74,53.79,127.05
2011-06-19,119.74,53.79,127.05
2011-06-20,120.54,54.07,127.7
2011-06-21,121.59,55.23,129.45
2011-06-22,120.81,54.831,128.67
2011-06-23,120.32,55.34,128.301
2011-06-24,119.2,54.38,126.81
2011-06-25,119.2,54.38,126.81
2011-06-26,119.2,54.38,126.81
2011-06-27,120.2,55.245,127.94
2011-06-28,121.611,56.07,129.61
2011-06-29,122.45,56.3,130.72
2011-06-30,123.83,57.05,131.97
2011-07-01,125.58,57.91,133.92
2011-07-02,125.58,57.91,133.92
2011-07-03,125.58,57.91,133.92
2011-07-04,125.58,57.91,133.92
2011-07-05,125.49,58.2,133.81
2011-07-06,126.09,58.39,133.97
2011-07-07,127.1,59.19,135.36
2011-07-08,126.39,59.03,134.4
2011-07-09,126.39,59.03,134.4
2011-07-10,126.39,59.03,134.4
2011-07-11,124.95,57.96,131.97
2011-07-12,124.33,57.52,131.4
2011-07-13,124.8,57.76,131.84
2011-07-14,124.21,57.09,130.93
2011-07-15,124.56,57.85,131.69
2011-07-16,124.56,57.85,131.69
2011-07-17,124.56,57.85,131.69
2011-07-18,123.62,57.54,130.61
2011-07-19,125.63,58.85,132.73
2011-07-20,125.46,58.6,132.65
2011-07-21,127.03,58.99,134.49
2011-07-22,126.6,59.6,134.58
2011-07-23,126.6,59.6,134.58
2011-07-24,126.6,59.6,134.58
2011-07-25,125.76,59.48,133.83
2011-07-26,124.83,59.625,133.33
2011-07-27,122.84,58.09,130.6
2011-07-28,122.28,58.19,130.22
2011-07-29,121.13,58.0,129.33
2011-07-30,121.13,58.0,129.33
2011-07-31,121.13,58.0,129.33
2011-08-01,121.11,57.73,128.78
2011-08-02,118.46,56.27,125.49
2011-08-03,118.8,56.81,126.17
2011-08-04,113.71,54.17,120.26
2011-08-05,114.25,53.83,120.08
2011-08-06,114.25,53.83,120.08
2011-08-07,114.25,53.83,120.08
2011-08-08,108.07,50.59,112.26
2011-08-09,112.37,53.03,117.48
2011-08-10,107.17,50.86,112.29
2011-08-11,111.25,53.1,117.33
2011-08-12,112.8,53.57,118.12
2011-08-13,112.8,53.57,118.12
2011-08-14,112.8,53.57,118.12
2011-08-15,114.81,54.36,120.62
2011-08-16,114.08,53.9,119.59
2011-08-17,114.26,53.58,119.67
2011-08-18,110.07,50.95,114.51
2011-08-19,107.91,50.03,112.64
2011-08-20,107.91,50.03,112.64
2011-08-21,107.91,50.03,112.64
2011-08-22,108.3,50.21,112.73
2011-08-23,111.37,52.28,116.44
2011-08-24,112.95,52.69,118.08
2011-08-25,111.26,51.83,116.28
2011-08-26,112.7,53.13,117.97
2011-08-27,112.7,53.13,117.97
2011-08-28,112.7,53.13,117.97
2011-08-29,115.14,54.61,121.36
2011-08-30,115.35,54.97,121.68
2011-08-31,115.95,55.06,122.22
2011-09-01,114.87,54.56,120.94
2011-09-02,112.28,53.28,117.85
2011-09-03,112.28,53.28,117.85
2011-09-04,112.28,53.28,117.85
2011-09-05,112.28,53.28,117.85
2011-09-06,111.21,53.29,116.99
2011-09-07,113.94,54.64,120.29
2011-09-08,112.87,54.39,119.04
2011-09-09,109.82,53.18,115.92
2011-09-10,109.82,53.18,115.92
2011-09-11,109.82,53.18,115.92
2011-09-12,110.51,53.86,116.67
2011-09-13,110.92,54.58,117.74
2011-09-14,112.4,55.36,119.37
2011-09-15,114.26,56.18,121.43
2011-09-16,114.86,56.59,121.521
2011-09-17,114.86,56.59,121.521
2011-09-18,114.86,56.59,121.521
2011-09-19,113.72,56.61,120.31
2011-09-20,113.88,56.36,120.17
2011-09-21,110.949,55.38,116.63
2011-09-22,107.07,53.58,112.86
2011-09-23,107.45,54.15,113.54
2011-09-24,107.45,54.15,113.54
2011-09-25,107.45,54.15,113.54
2011-09-26,110.24,54.78,116.24
2011-09-27,111.71,55.35,117.54
2011-09-28,109.83,54.53,115.145
2011-09-29,111.38,53.88,116.05
2011-09-30,108.93,52.49,113.15
2011-10-01,108.93,52.49,113.15
2011-10-02,108.93,52.49,113.15
2011-10-03,106.36,51.14,109.93
2011-10-04,107.72,52.19,112.34
2011-10-05,109.28,53.53,114.42
2011-10-06,111.09,54.43,116.49
2011-10-07,111.02,54.07,115.71
2011-10-08,111.02,54.07,115.71
2011-10-09,111.02,54.07,115.71
2011-10-10,114.21,55.94,119.58
2011-10-11,114.01,56.32,119.7
2011-10-12,114.99,56.6,120.75
2011-10-13,114.66,57.12,120.51
2011-10-14,116.34,58.18,122.57
2011-10-15,116.34,58.18,122.57
2011-10-16,116.34,58.18,122.57
2011-10-17,113.9,57.28,120.23
2011-10-18,115.51,57.99,122.58
2011-10-19,114.95,56.87,121.13
2011-10-20,115.33,56.59,121.66
2011-10-21,117.85,57.3,123.97
2011-10-22,117.85,57.3,123.97
2011-10-23,117.85,57.3,123.97
2011-10-24,118.88,58.49,125.49
2011-10-25,116.79,57.34,123.049
2011-10-26,118.41,57.27,124.3
2011-10-27,121.94,58.85,128.63
2011-10-28,122.04,58.94,128.6
2011-10-29,122.04,58.94,128.6
2011-10-30,122.04,58.94,128.6
2011-10-31,119.34,57.95,125.5
2011-11-01,116.38,56.44,122.002
2011-11-02,118.13,56.92,123.99
2011-11-03,120.19,58.1,126.25
2011-11-04,119.6,57.8,125.481
2011-11-05,119.6,57.8,125.481
2011-11-06,119.6,57.8,125.481
2011-11-07,120.45,58.21,126.26
2011-11-08,121.59,58.88,127.88
2011-11-09,117.69,56.81,123.161
